,sample_id,OM,ENR,CEC,pH,BpH,Phosphorus,Potassium,Calcium,Magnesium,Sulfur,Sodium,Zinc,Manganese,Iron,Copper,Boron,site_id,collect_date,V2,species
119,LM3,9.4,150.0,5.0,5.2,6.76,45.0,92.0,494.0,63.0,15.0,14.0,1.0,68.0,130.0,0.5,0.1,LM,5/18/2021,0.099253109,quadrifolia
120,LM7,4.9,140.0,5.7,5.6,6.8,101.0,96.0,690.0,76.0,13.0,14.0,1.6,19.0,106.0,1.2,0.1,LM,5/18/2021,0.999385992,quadrifolia
121,LM8,8.3,150.0,9.6,6.1,6.8,132.0,154.0,1281.0,168.0,11.0,15.0,2.7,35.0,104.0,0.9,0.4,LM,5/18/2021,0.995175126,quadrifolia
122,LM9,9.1,150.0,12.4,6.2,6.78,225.0,193.0,1802.0,160.0,12.0,16.0,12.3,29.0,127.0,2.7,0.6,LM,6/25/2021,0.947113913,syriaca
123,LM10,9.2,150.0,14.5,6.3,6.78,247.0,251.0,2098.0,216.0,10.0,15.0,13.4,30.0,121.0,2.9,0.9,LM,6/25/2021,0.99998903,syriaca
124,LM11,9.4,150.0,11.7,6.3,6.81,171.0,243.0,1594.0,220.0,10.0,14.0,6.7,37.0,108.0,1.3,0.6,LM,6/25/2021,0.999997212,syriaca
125,LM12,9.0,150.0,11.7,5.7,6.68,141.0,196.0,1437.0,171.0,9.0,15.0,11.4,31.0,143.0,2.2,0.4,LM,6/25/2021,0.993939326,syriaca
126,LM13,8.9,150.0,11.0,6.2,6.8,164.0,189.0,1505.0,198.0,11.0,15.0,9.7,34.0,103.0,1.6,0.5,LM,6/25/2021,0.993886933,syriaca
127,LM14,11.9,150.0,15.2,5.8,6.64,181.0,213.0,2006.0,196.0,9.0,15.0,9.8,48.0,107.0,1.9,0.6,LM,6/25/2021,0.999996209,syriaca
128,LM15,10.1,150.0,14.8,6.1,6.73,218.0,177.0,2083.0,226.0,12.0,15.0,12.4,29.0,122.0,2.5,0.7,LM,6/25/2021,0.976830919,syriaca
129,LM16,10.2,150.0,15.7,6.2,6.74,257.0,249.0,2140.0,292.0,10.0,15.0,17.6,42.0,157.0,3.6,0.7,LM,6/25/2021,0.931411864,syriaca
130,LM17,13.0,150.0,16.8,5.9,6.64,233.0,131.0,2410.0,174.0,12.0,16.0,24.1,52.0,117.0,2.8,0.8,LM,6/25/2021,0.970629199,syriaca
131,LM18,11.3,150.0,16.4,5.9,6.65,234.0,261.0,2248.0,200.0,13.0,16.0,17.9,42.0,113.0,2.7,0.7,LM,6/25/2021,0.921160983,syriaca
132,LM20,11.1,150.0,10.6,5.7,6.71,63.0,242.0,1142.0,241.0,10.0,14.0,11.2,28.0,133.0,0.8,0.4,LM,6/25/2021,0.999999685,syriaca
133,LM21,10.6,150.0,13.9,5.5,6.57,56.0,389.0,1269.0,348.0,14.0,19.0,11.1,32.0,194.0,1.4,0.4,LM,6/25/2021,0.999080836,syriaca
